open,high,low,last,close,volume,date,symbol,exchange
213.37,213.41,213.3,,213.3,,2018-08-16T21:30:00+0000,AAPL,IEXG
213.28,213.41,213.16,,213.3,,2018-08-16T21:00:00+0000,AAPL,IEXG
213.43,213.43,212.985,,213.28,,2018-08-16T20:30:00+0000,AAPL,IEXG
213.133,213.73,212.985,,213.48,,2018-08-16T20:00:00+0000,AAPL,IEXG
213.273,213.3,213.133,,213.133,,2018-08-16T19:30:00+0000,AAPL,IEXG
212.785,213.465,212.785,,213.133,,2018-08-16T19:00:00+0000,AAPL,IEXG
212.85,213.198,212.785,,212.785,,2018-08-16T18:30:00+0000,AAPL,IEXG
211.78,213.198,211.78,,212.785,,2018-08-16T18:00:00+0000,AAPL,IEXG
210.24,212.25,210.24,,211.78,,2018-08-16T17:30:00+0000,AAPL,IEXG
210.24,210.24,210.24,,210.24,,2018-08-16T00:00:00+0000,AAPL,IEXG
210.0,210.73,210.0,,210.3,,2018-08-15T23:30:00+0000,AAPL,IEXG
209.7,210.73,209.69,,210.24,,2018-08-15T23:00:00+0000,AAPL,IEXG
209.215,209.69,209.16,,209.69,,2018-08-15T22:30:00+0000,AAPL,IEXG
209.49,209.69,209.06,,209.69,,2018-08-15T22:00:00+0000,AAPL,IEXG
209.81,210.04,209.52,,209.52,,2018-08-15T21:30:00+0000,AAPL,IEXG
209.195,210.1,209.07,,209.52,,2018-08-15T21:00:00+0000,AAPL,IEXG
208.98,209.25,208.89,,209.19,,2018-08-15T20:30:00+0000,AAPL,IEXG
208.4,210.73,208.4,,210.24,,2018-08-15T20:00:00+0000,AAPL,IEXG
208.93,209.165,208.4,,208.43,,2018-08-15T19:30:00+0000,AAPL,IEXG
208.575,209.165,208.4,,208.43,,2018-08-15T19:00:00+0000,AAPL,IEXG
208.54,209.23,208.35,,208.59,,2018-08-15T18:30:00+0000,AAPL,IEXG
209.1,209.245,208.35,,208.59,,2018-08-15T18:00:00+0000,AAPL,IEXG
209.065,209.97,208.93,,209.135,,2018-08-15T17:30:00+0000,AAPL,IEXG
209.75,209.75,209.75,,209.75,,2018-08-15T00:00:00+0000,AAPL,IEXG
209.645,209.78,209.53,,209.73,,2018-08-14T23:30:00+0000,AAPL,IEXG
209.655,209.78,209.53,,209.75,,2018-08-14T23:00:00+0000,AAPL,IEXG
