date,open,close,low,high
2018-06-07,55.62,55.005,54.68,56.03
2018-06-08,54.59,54.5,54.26,55.26
2018-06-11,54.935,54.82,54.225,54.97
2018-06-12,54.97,54.995,54.435,55.69
2018-06-13,55.5,55.545,54.95,55.85
2018-06-14,55.13,55.1,54.6,55.58
2018-06-15,54.175,53.215,52.345,55.37
2018-06-18,52.14,52.91,51.915,53.29
2018-06-19,53.29,53.475,52.67,53.73
2018-06-20,54.455,52.16,51.965,54.455
2018-06-21,52.7,52.395,52.145,53.08
2018-06-22,51.25,50.705,49.915,52.675
2018-06-25,49.89,49.67,49.37,50.89
2018-06-26,49.23,48.825,48.8,50.06
2018-06-27,48.525,49.255,48.5,49.48
2018-06-28,49.545,49.75,49.0,50.1
2018-06-29,49.19,50.2,48.84,50.255
2018-07-02,50.58,49.47,49.46,50.71
2018-07-03,49.47,49.47,49.47,49.47
2018-07-05,50.75,51.37,50.375,51.5
2018-07-06,51.64,51.86,51.0,51.89
2018-07-09,52.12,52.15,51.5,52.25
2018-07-10,51.62,51.2,51.195,52.23
2018-07-11,52.03,52.35,51.195,52.48
2018-07-12,52.35,52.22,51.78,52.395
2018-07-13,52.22,52.01,51.87,52.3
2018-07-16,51.16,51.75,51.06,52.12
2018-07-17,51.9,51.72,51.48,51.94
2018-07-18,51.63,51.98,51.06,52.005
2018-07-19,51.88,51.91,51.345,52.04
2018-07-20,51.79,52.31,51.35,52.49
2018-07-23,52.76,52.18,52.08,53.295
2018-07-24,52.26,52.43,51.1,52.445
2018-07-25,52.475,52.17,51.88,53.17
2018-07-26,48.75,47.68,47.485,52.3
2018-07-27,47.64,47.69,46.485,47.98
2018-07-30,48.19,48.1,47.58,48.67
2018-07-31,48.055,48.81,48.025,48.905
2018-08-01,48.48,49.48,48.2,49.51
2018-08-02,49.48,49.62,49.18,49.725
2018-08-03,48.745,49.3,48.32,49.62
2018-08-06,49.49,49.7,49.02,49.83
2018-08-07,49.625,49.96,49.45,50.12
2018-08-08,49.96,50.14,49.6,50.59
2018-08-09,48.44,48.85,48.3,50.585
2018-08-10,49.03,48.45,48.385,49.245
2018-08-13,48.635,48.12,47.67,48.86
2018-08-14,47.685,47.46,46.95,48.35
2018-08-15,47.46,47.17,47.04,47.65
2018-08-16,46.91,47.1,46.35,47.375
2018-08-17,47.06,46.5,46.2,47.375
2018-08-20,46.68,47.62,46.425,47.86
2018-08-21,47.26,47.06,46.92,47.795
2018-08-22,46.92,46.98,46.715,47.165
2018-08-23,47.27,47.66,46.835,47.89
2018-08-24,47.98,48.35,47.63,48.39
2018-08-27,48.58,48.57,48.19,48.79
2018-08-28,48.685,48.75,48.41,48.87
2018-08-29,48.605,48.24,48.1,48.835
2018-08-30,48.0,48.43,47.94,48.565
2018-08-31,48.43,48.43,48.24,48.565
2018-09-04,47.79,47.72,47.47,48.11
2018-09-05,47.85,47.26,47.215,47.95
2018-09-06,47.165,47.15,46.375,47.43
2018-09-07,46.745,46.3,46.25,47.48
2018-09-10,45.81,44.93,44.89,46.33
2018-09-11,44.42,44.93,44.05,45.18
2018-09-12,45.64,45.57,44.74,45.82
2018-09-13,45.795,45.54,45.35,45.97
2018-09-14,45.33,45.42,45.21,45.905
2018-09-17,45.535,46.1,45.385,46.52
2018-09-18,46.02,46.15,45.895,46.44
2018-09-19,46.53,47.2,46.125,47.36
2018-09-20,46.99,46.66,46.375,47.41
2018-09-21,46.2,46.91,46.2,46.995
2018-09-24,46.335,45.91,45.79,46.99
2018-09-25,45.98,45.7,45.605,46.3
2018-09-26,45.91,45.88,45.605,46.165
2018-09-27,45.685,47.29,45.46,47.75
2018-09-28,46.79,46.45,46.2,47.315
2018-10-01,47.515,48.1,46.2,48.88
2018-10-02,48.635,48.76,48.1,49.71
2018-10-03,48.845,48.13,47.625,48.855
2018-10-04,48.25,47.05,46.67,48.34
2018-10-05,47.015,47.03,46.515,47.34
2018-10-08,47.245,46.55,46.535,47.62
2018-10-09,46.55,44.8,44.8,46.765
2018-10-10,45.26,44.23,43.845,45.605
2018-10-11,45.275,44.88,44.23,45.285
2018-10-12,44.64,44.53,44.45,45.14
2018-10-15,44.53,45.94,44.53,46.005
2018-10-16,46.0,45.89,45.54,46.32
2018-10-17,45.68,44.97,44.83,46.035
2018-10-18,45.04,44.0,43.86,45.125
2018-10-19,44.485,45.01,43.965,45.335
2018-10-22,44.17,44.5,43.915,45.275
2018-10-23,44.24,42.42,42.395,44.7
2018-10-24,43.44,44.31,42.395,44.94
2018-10-25,45.635,45.69,44.27,46.43
2018-10-26,46.485,45.4,44.475,46.75
2018-10-29,45.54,47.76,44.475,47.845
2018-10-30,48.355,46.88,46.83,48.43
2018-10-31,46.94,48.22,46.83,48.465
2018-11-01,48.17,47.11,46.76,48.27
2018-11-02,47.33,47.97,46.92,48.25
2018-11-05,47.745,47.25,47.04,48.08
2018-11-06,47.875,48.72,47.17,48.735
2018-11-07,48.51,48.99,48.465,49.275
2018-11-08,48.78,48.11,47.87,49.04
2018-11-09,47.76,46.65,46.61,48.305
2018-11-12,47.17,47.39,46.61,48.235
2018-11-13,47.855,47.09,46.89,47.955
2018-11-14,47.055,48.11,46.735,48.235
2018-11-15,47.815,48.85,47.71,49.04
2018-11-16,48.64,48.0,47.775,49.14
2018-11-19,47.44,47.39,47.1,48.275
2018-11-20,47.8,47.03,47.03,47.86
2018-11-21,47.03,47.03,47.03,47.295
2018-11-23,47.105,47.45,46.54,47.45
2018-11-26,46.71,48.07,46.6,48.215
2018-11-27,47.935,48.86,47.66,48.87
2018-11-28,48.56,47.7,47.645,48.87
2018-11-29,47.95,49.31,47.63,49.31
2018-11-30,50.11,50.13,48.775,50.495
2018-12-03,49.55,47.75,47.68,50.145
2018-12-04,47.75,47.75,47.68,48.105
2018-12-05,46.72,48.365,46.62,48.365
2018-12-06,47.98,46.24,46.24,48.365
2018-12-07,46.25,47.21,46.24,47.45
2018-12-10,47.95,47.38,47.15,48.59
2018-12-11,48.53,47.83,47.36,48.64
2018-12-12,48.3,48.29,47.815,48.565
2018-12-13,47.965,47.86,47.86,48.755
2018-12-14,47.01,47.04,46.665,48.405
2018-12-17,47.49,45.535,45.395,56.195
2018-12-18,45.49,45.54,45.03,46.28
2018-12-19,45.81,44.845,44.845,46.61
2018-12-20,44.63,43.575,43.575,45.07
2018-12-21,43.575,43.575,43.575,43.575
2018-12-24,44.13,46.17,43.52,46.195
2018-12-26,46.51,46.79,46.325,47.72
2018-12-27,47.115,46.93,46.57,47.46
2018-12-28,46.93,46.93,46.93,46.93
2018-12-31,45.895,47.08,45.79,47.46
2019-01-02,45.835,47.22,45.55,47.565
2019-01-03,47.0,47.44,46.765,47.995
2019-01-04,47.87,47.74,46.79,48.02
2019-01-07,47.94,48.0,47.005,48.57
2019-01-08,47.75,48.56,47.42,48.57
2019-01-09,48.245,48.93,47.43,48.79
2019-01-10,48.41,48.35,48.31,49.29
2019-01-11,48.67,48.6,48.31,49.12
2019-01-14,48.61,48.12,48.39,49.075
2019-01-15,48.055,48.47,47.91,48.9
2019-01-16,49.085,49.19,48.095,49.19
2019-01-17,49.19,49.19,48.77,49.375
2019-01-18,48.965,48.27,48.615,49.19
