date,open,close,low,high
2018-06-12,74.415,74.3,74.065,74.61
2018-06-13,74.29,74.12,74.01,74.9
2018-06-14,74.615,74.73,74.42,75.14
2018-06-15,74.73,75.835,74.54,75.84
2018-06-18,75.2,75.605,74.915,75.76
2018-06-19,74.48,74.27,73.69,74.92
2018-06-20,74.36,74.73,73.975,74.9
2018-06-21,73.635,73.93,73.57,74.79
2018-06-22,73.7,73.415,73.21,74.37
2018-06-25,73.12,72.36,72.045,73.33
2018-06-26,72.465,72.575,72.41,73.25
2018-06-27,72.785,71.42,71.165,72.935
2018-06-28,71.38,71.69,71.38,72.105
2018-06-29,78.645,79.73,78.61,81.0
2018-07-02,78.79,78.33,77.03,79.47
2018-07-03,77.46,76.28,76.11,77.87
2018-07-05,76.98,76.55,76.19,77.335
2018-07-06,76.535,76.48,76.12,77.065
2018-07-09,77.02,77.29,76.36,77.37
2018-07-10,77.64,77.57,77.16,78.05
2018-07-11,77.13,77.36,76.9,77.61
2018-07-12,77.875,77.36,77.245,78.115
2018-07-13,77.36,77.38,77.15,77.58
2018-07-16,77.38,77.75,77.38,78.09
2018-07-17,77.52,77.47,77.425,78.0
2018-07-18,77.315,76.6,76.32,77.58
2018-07-19,75.89,76.95,75.85,77.15
2018-07-20,76.2,76.96,76.2,77.075
2018-07-23,76.86,76.59,76.14,76.935
2018-07-24,76.95,75.505,75.435,77.09
2018-07-25,75.115,77.14,75.06,77.175
2018-07-26,77.33,78.15,76.905,78.445
2018-07-27,78.29,76.885,76.79,78.36
2018-07-30,76.9,75.955,75.445,76.96
2018-07-31,76.54,76.91,76.205,77.58
2018-08-01,76.91,77.53,76.61,78.055
2018-08-02,77.79,78.65,77.41,79.07
2018-08-03,78.65,78.745,78.455,78.88
2018-08-06,78.76,79.505,78.68,79.575
2018-08-07,79.68,80.54,79.29,80.62
2018-08-08,80.54,80.5,80.04,81.08
2018-08-09,80.5,81.265,80.42,81.81
2018-08-10,80.41,80.77,80.29,81.29
2018-08-13,80.9,80.14,80.01,81.14
2018-08-14,80.14,80.11,79.68,80.84
2018-08-15,79.62,79.57,79.135,79.855
2018-08-16,79.57,80.06,79.57,80.56
2018-08-17,80.055,79.75,79.72,80.425
2018-08-20,79.75,82.18,79.75,82.415
2018-08-21,82.29,82.95,82.025,83.085
2018-08-22,83.135,82.66,82.27,83.67
2018-08-23,82.44,82.91,82.36,83.57
2018-08-24,82.64,82.46,82.1,82.88
2018-08-27,83.15,82.665,82.23,83.34
2018-08-28,83.145,82.58,82.485,83.63
2018-08-29,82.445,82.79,82.22,83.095
2018-08-30,82.53,81.4,81.015,82.76
2018-08-31,81.26,82.175,81.26,82.25
2018-09-04,79.1,79.6,79.1,80.96
2018-09-05,79.46,79.915,79.42,80.32
2018-09-06,80.375,80.4,79.77,80.835
2018-09-07,80.48,80.3,80.075,81.15
2018-09-10,81.475,82.095,81.22,82.44
2018-09-11,83.14,82.645,82.555,83.585
2018-09-12,82.76,83.0,82.03,83.04
2018-09-13,83.33,83.47,83.12,83.895
2018-09-14,83.64,83.485,83.06,83.755
2018-09-17,83.49,83.26,82.95,83.925
2018-09-18,83.34,85.26,83.3,85.35
2018-09-19,85.115,85.37,84.11,85.865
2018-09-20,85.37,85.18,85.35,85.96
2018-09-21,85.18,84.27,84.27,85.76
2018-09-24,84.88,84.79,84.08,85.09
2018-09-25,82.54,83.72,81.96,85.065
2018-09-26,83.82,84.54,83.53,84.925
2018-09-27,84.38,84.725,84.3,85.275
2018-09-28,85.175,84.46,84.36,85.855
2018-10-01,84.325,82.77,83.24,84.83
2018-10-02,81.96,82.5,81.93,83.57
2018-10-03,82.31,80.18,80.29,82.96
2018-10-04,80.12,80.12,79.43,80.985
2018-10-05,79.96,80.245,79.08,80.43
2018-10-08,80.335,80.42,79.28,81.485
2018-10-09,80.42,74.875,76.47,80.895
2018-10-10,74.835,74.5,74.78,77.065
2018-10-11,76.14,75.91,74.08,76.785
2018-10-12,75.68,74.99,74.92,76.16
2018-10-15,74.99,77.48,74.965,77.12
2018-10-16,77.66,76.48,75.97,77.66
2018-10-17,77.15,75.6,75.21,77.255
2018-10-18,75.8,74.21,74.31,76.02
2018-10-19,74.65,74.9,74.145,75.21
2018-10-22,74.11,73.35,72.075,75.1
2018-10-23,73.52,72.105,72.71,74.605
2018-10-24,72.76,73.1,72.025,73.8
2018-10-25,72.015,72.07,70.7,73.46
2018-10-26,73.34,72.19,71.625,74.01
2018-10-29,72.88,74.51,71.43,74.54
2018-10-30,74.51,75.06,73.22,76.24
2018-10-31,75.34,76.79,74.84,76.675
2018-11-01,77.64,76.545,75.71,78.59
2018-11-02,76.54,77.53,75.785,77.395
2018-11-05,77.31,76.57,76.555,77.77
2018-11-06,76.8,77.97,76.36,78.215
2018-11-07,77.98,77.78,77.255,78.22
2018-11-08,77.78,76.345,75.78,77.91
2018-11-09,76.32,75.1,75.345,76.77
2018-11-12,75.74,75.19,74.99,76.2
2018-11-13,76.5,75.2,74.83,77.48
2018-11-14,74.475,74.33,72.885,75.83
2018-11-15,73.75,74.74,73.08,75.52
2018-11-16,74.63,72.52,72.045,75.155
2018-11-19,72.52,71.12,69.575,72.85
2018-11-20,71.12,72.385,70.765,72.89
2018-11-21,72.385,72.385,72.155,72.635
2018-11-23,72.41,72.71,71.49,72.99
2018-11-26,72.215,72.09,71.3,72.975
2018-11-27,72.445,74.67,71.595,74.44
2018-11-28,74.76,74.34,73.325,74.85
2018-11-29,74.14,75.11,74.08,75.465
2018-11-30,76.93,77.945,74.44,79.0
2018-12-03,77.39,75.79,76.16,78.36
2018-12-04,75.79,75.79,75.43,76.32
2018-12-05,74.345,75.53,73.615,75.79
2018-12-06,75.24,73.34,73.41,75.92
2018-12-07,73.34,72.51,70.66,73.925
2018-12-10,73.92,73.57,71.97,74.57
2018-12-11,74.545,74.32,72.61,75.2
2018-12-12,74.52,72.93,72.625,74.56
2018-12-13,72.095,72.54,71.45,73.65
2018-12-14,71.37,69.91,69.67,73.04
2018-12-17,70.505,71.13,69.48,72.41
2018-12-18,71.17,68.95,70.64,71.955
2018-12-19,68.69,67.51,67.36,70.95
2018-12-20,73.48,72.36,66.55,74.23
2018-12-21,71.615,68.17,68.1,72.96
2018-12-24,68.17,68.17,68.17,68.17
2018-12-26,71.57,71.6,70.83,73.71
2018-12-27,73.97,73.315,71.28,74.44
2018-12-28,73.315,74.125,73.035,74.45
2018-12-31,74.125,74.125,73.51,74.165
2019-01-02,73.245,72.73,71.215,74.14
2019-01-03,73.6,74.65,72.605,75.125
2019-01-04,74.545,75.72,74.355,76.37
2019-01-07,77.11,76.73,75.67,77.42
2019-01-08,76.89,76.565,76.155,77.11
2019-01-09,75.61,76.42,75.46,77.34
2019-01-10,76.275,76.04,75.905,76.89
2019-01-11,75.55,76.09,75.55,76.81
2019-01-14,76.09,77.88,75.99,77.925
2019-01-15,77.96,77.665,77.275,78.78
2019-01-16,77.575,79.13,77.575,78.89
2019-01-17,79.13,80.45,78.23,80.975
2019-01-18,80.45,80.45,80.19,80.935
2019-01-22,80.78,80.5,80.225,81.405
2019-01-23,80.69,80.435,79.545,80.77
2019-01-24,80.435,80.6,79.8,81.32
2019-01-25,79.99,80.35,79.79,80.91
2019-01-28,80.4,80.22,79.84,80.835
2019-01-29,80.52,81.28,79.96,80.66
2019-01-30,81.12,81.87,80.16,81.74
2019-01-31,81.845,81.51,81.025,81.955
2019-02-01,81.51,81.99,80.83,81.87
2019-02-04,82.0,82.86,81.69,83.2
2019-02-05,82.59,82.71,81.64,83.015
2019-02-06,82.71,82.4,81.71,82.845
2019-02-07,82.27,82.33,81.84,82.715
2019-02-08,83.04,83.69,81.93,83.705
2019-02-11,83.97,84.68,83.28,84.63
2019-02-12,84.87,85.385,84.505,85.59
2019-02-13,84.23,84.675,83.73,85.495
2019-02-14,85.47,85.37,84.61,85.77
2019-02-15,85.37,85.37,85.095,85.425
2019-02-19,84.765,84.86,84.36,85.05
2019-02-20,83.665,83.925,83.35,84.945
2019-02-21,84.13,84.76,83.47,85.015
2019-02-22,85.23,85.235,84.34,85.625
2019-02-25,85.275,85.8,84.395,86.02
2019-02-26,85.525,86.17,85.07,86.09
2019-02-27,85.93,85.7,85.545,86.38
2019-02-28,86.89,87.17,85.685,87.925
2019-03-01,87.42,85.66,86.235,87.96
2019-03-04,85.87,85.48,85.105,86.4
2019-03-05,85.65,85.11,85.04,86.25
2019-03-06,84.8,85.265,84.69,85.48
2019-03-07,84.5,84.83,84.02,85.38
2019-03-08,85.475,85.81,84.195,85.715
2019-03-11,85.875,85.43,85.105,86.06
2019-03-12,85.63,85.96,85.015,86.44
2019-03-13,86.215,86.87,85.7,86.645
2019-03-14,87.21,86.8,85.955,87.56
2019-03-15,87.17,87.82,86.21,87.72
2019-03-18,88.35,87.74,87.115,88.53
2019-03-19,87.515,86.67,86.8,88.22
2019-03-20,87.16,88.02,86.1,87.63
2019-03-21,85.24,82.18,83.03,88.11
2019-03-22,81.24,82.33,81.15,83.86
2019-03-25,83.74,83.38,80.9,84.09
2019-03-26,83.675,83.09,82.18,84.0
2019-03-27,84.09,84.02,82.05,84.71
2019-03-28,84.55,84.22,83.7,84.84
2019-03-29,85.115,85.23,84.07,85.24
2019-04-01,85.2,84.37,84.4,85.32
2019-04-02,84.91,84.47,84.155,84.91
2019-04-03,84.47,85.3,84.335,85.2
2019-04-04,85.84,85.4,84.645,86.155
2019-04-05,85.14,84.73,84.58,85.535
2019-04-08,84.13,84.3,84.125,85.07
2019-04-09,84.73,84.89,83.98,85.015
2019-04-10,84.93,85.01,84.275,84.94
2019-04-11,85.365,86.24,84.655,86.49
2019-04-12,86.935,86.83,86.06,87.24
2019-04-15,87.065,87.8,86.535,87.84
2019-04-16,88.955,88.95,87.52,88.975
2019-04-17,88.835,89.21,72.64,89.445
2019-04-18,89.21,89.21,88.93,90.0
2019-04-22,87.555,87.43,87.005,88.3
2019-04-23,87.62,88.39,87.05,88.49
2019-04-24,88.395,87.54,88.11,88.815
2019-04-25,88.035,88.38,87.33,88.53
2019-04-26,88.205,88.26,88.095,88.94
2019-04-29,88.365,87.84,87.68,88.45
2019-04-30,87.895,85.88,87.15,87.95
2019-05-01,86.235,85.27,85.505,87.31
2019-05-02,86.04,85.7,85.0,86.23
2019-05-03,83.61,83.57,82.86,86.29
2019-05-06,82.94,82.54,82.57,83.87
2019-05-07,82.3,82.77,81.84,83.38
2019-05-08,82.205,82.98,81.54,83.99
2019-05-09,82.77,83.94,81.62,83.37
2019-05-10,81.65,82.53,81.38,84.27
2019-05-13,82.64,83.67,82.01,83.53
2019-05-14,83.14,84.01,82.97,84.0
2019-05-15,84.65,84.28,83.805,85.39
2019-05-16,83.6,84.57,83.6,85.265
2019-05-17,83.685,82.85,82.92,85.515
2019-05-20,83.425,83.64,82.52,83.49
2019-05-21,83.035,83.2,82.79,83.8
2019-05-22,82.45,82.63,82.45,83.3
2019-05-23,82.335,82.16,82.0,83.17
2019-05-24,82.16,82.16,82.1,82.63
2019-05-28,80.61,78.88,79.16,82.97
2019-05-29,78.93,79.235,77.7,79.73
2019-05-30,77.93,77.14,77.68,79.675
2019-05-31,77.22,77.98,77.08,78.245
2019-06-03,79.225,81.62,77.6,80.12
2019-06-04,82.32,82.72,80.02,82.8
2019-06-05,82.9,82.45,82.085,83.055
2019-06-06,83.56,83.56,82.155,83.57
2019-06-07,83.77,83.28,82.87,85.99
2019-06-10,83.64,82.63,82.865,84.02
2019-06-11,83.18,83.61,82.51,83.91
2019-06-12,83.5,83.44,83.035,83.86
2019-06-13,83.41,82.1,82.35,83.685
2019-06-14,82.755,84.3,82.04,84.525
2019-06-17,83.57,83.57,83.155,84.64
2019-06-18,84.91,85.255,83.19,85.67
2019-06-19,85.41,85.73,84.6,85.6
2019-06-20,86.015,84.495,85.21,86.85
