symbol,date,open,close,low,high
AAPL,2018-06-06,194.155,193.5,192.385,194.16
AAPL,2018-06-07,190.98,191.51,189.805,193.91
AAPL,2018-06-08,191.345,191.16,190.23,191.995
AAPL,2018-06-11,191.385,192.32,191.13,191.86
AAPL,2018-06-12,192.48,190.665,191.31,192.85
AAPL,2018-06-13,191.535,190.85,190.23,192.76
AAPL,2018-06-14,190.03,189.07,188.3,191.33
AAPL,2018-06-15,187.82,188.74,187.22,189.47
AAPL,2018-06-18,185.3,185.75,183.46,189.22
AAPL,2018-06-19,186.33,186.51,184.81,186.96
AAPL,2018-06-20,187.305,185.395,186.03,188.335
AAPL,2018-06-21,185.985,185.015,184.83,186.67
AAPL,2018-06-22,183.495,182.24,182.21,185.96
AAPL,2018-06-25,182.555,184.33,180.74,185.2
AAPL,2018-06-26,185.23,184.26,184.12,187.25
AAPL,2018-06-27,184.04,185.61,183.82,186.93
AAPL,2018-06-28,186.27,185.35,184.62,187.175
AAPL,2018-06-29,183.83,187.18,183.55,186.94
AAPL,2018-07-02,187.78,183.64,185.29,187.94
AAPL,2018-07-03,183.64,183.64,183.64,186.55
AAPL,2018-07-05,185.4,187.97,185.03,187.695
AAPL,2018-07-06,189.38,190.58,187.44,190.67
AAPL,2018-07-09,190.73,190.35,189.755,191.205
AAPL,2018-07-10,188.72,187.93,187.985,191.275
AAPL,2018-07-11,189.38,191.03,187.69,190.995
AAPL,2018-07-12,191.145,191.33,190.65,191.815
AAPL,2018-07-13,191.6,190.91,190.985,192.635
AAPL,2018-07-16,189.76,191.47,189.37,191.375
AAPL,2018-07-17,191.79,190.4,189.995,191.865
AAPL,2018-07-18,189.69,191.97,189.69,192.54
AAPL,2018-07-19,191.765,191.44,191.625,192.505
AAPL,2018-07-20,190.595,191.61,189.57,192.09
AAPL,2018-07-23,192.285,193.0,190.66,193.66
AAPL,2018-07-24,193.065,194.82,192.37,193.64
AAPL,2018-07-25,194.615,194.21,193.44,195.96
AAPL,2018-07-26,194.995,190.98,193.12,195.08
AAPL,2018-07-27,191.94,189.72,189.47,193.52
AAPL,2018-07-30,190.32,190.29,189.1,191.0
AAPL,2018-07-31,199.145,201.62,190.29,201.29
AAPL,2018-08-01,200.53,207.39,199.59,207.04
AAPL,2018-08-02,207.39,207.96,206.12,208.365
AAPL,2018-08-03,207.935,209.06,207.03,208.68
AAPL,2018-08-06,209.43,207.11,206.79,209.47
AAPL,2018-08-07,206.09,207.25,204.55,207.79
AAPL,2018-08-08,207.25,208.88,206.57,209.595
AAPL,2018-08-09,207.32,207.53,207.32,209.77
AAPL,2018-08-10,207.85,208.87,206.68,210.94
AAPL,2018-08-13,210.155,209.75,208.26,210.555
AAPL,2018-08-14,209.065,210.24,208.35,209.97
AAPL,2018-08-15,213.3,213.3,208.4,213.73
AAPL,2018-08-16,218.105,215.46,210.24,219.17
AAPL,2018-08-17,216.675,215.06,214.03,216.795
AAPL,2018-08-20,214.2,215.05,213.88,217.22
AAPL,2018-08-21,214.665,215.49,214.535,217.055
AAPL,2018-08-22,216.51,216.16,215.12,216.88
AAPL,2018-08-23,217.23,217.94,215.785,218.74
AAPL,2018-08-24,219.05,219.7,217.56,219.885
AAPL,2018-08-27,220.255,222.98,219.075,222.26
AAPL,2018-08-28,223.27,225.03,221.605,224.63
AAPL,2018-08-29,226.54,227.63,223.82,228.86
AAPL,2018-08-30,227.63,227.63,226.62,228.6
AAPL,2018-08-31,228.425,228.36,226.655,229.17
AAPL,2018-09-04,226.65,223.1,221.335,228.955
AAPL,2018-09-05,221.91,221.3,221.585,225.36
AAPL,2018-09-06,220.975,218.33,216.48,225.36
AAPL,2018-09-07,218.01,223.85,216.57,222.87
AAPL,2018-09-10,224.9,221.06,219.85,224.99
AAPL,2018-09-11,223.555,226.41,219.89,227.805
AAPL,2018-09-12,225.26,223.84,224.045,228.355
AAPL,2018-09-13,222.14,217.88,219.23,224.915
AAPL,2018-09-14,217.825,218.24,217.18,221.775
AAPL,2018-09-17,218.53,218.37,215.295,220.035
AAPL,2018-09-18,220.31,220.03,217.11,222.265
AAPL,2018-09-19,220.995,217.66,218.39,221.675
AAPL,2018-09-20,216.88,220.79,216.65,220.21
AAPL,2018-09-21,219.78,222.19,219.535,222.85
AAPL,2018-09-24,221.14,220.42,221.1,223.75
AAPL,2018-09-25,223.865,224.95,219.88,225.89
AAPL,2018-09-26,224.765,225.74,224.02,226.455
AAPL,2018-09-27,228.085,227.26,224.47,229.41
AAPL,2018-09-28,227.325,229.28,226.33,229.85
AAPL,2018-10-01,230.215,232.1,227.92,233.48
AAPL,2018-10-02,230.905,227.99,227.82,233.13
AAPL,2018-10-03,228.15,224.29,223.56,229.65
AAPL,2018-10-04,221.64,223.76,220.21,225.335
AAPL,2018-10-05,223.65,226.91,220.21,227.02
AAPL,2018-10-08,225.56,216.36,222.215,227.27
AAPL,2018-10-09,214.4,214.45,213.03,224.39
AAPL,2018-10-10,220.99,222.11,212.34,222.25
AAPL,2018-10-11,221.045,217.36,216.92,222.87
AAPL,2018-10-12,218.975,222.15,216.77,220.22
AAPL,2018-10-15,222.24,221.2,218.825,222.9
AAPL,2018-10-16,217.86,216.02,215.88,222.63
AAPL,2018-10-17,218.075,219.31,213.0,221.25
AAPL,2018-10-18,219.765,220.59,217.43,223.35
AAPL,2018-10-19,215.6,222.73,214.81,223.07
AAPL,2018-10-22,222.57,215.09,216.82,224.23
AAPL,2018-10-23,217.705,219.8,214.575,221.66
AAPL,2018-10-24,215.98,216.3,212.69,221.35
AAPL,2018-10-25,219.155,212.24,214.625,220.17
AAPL,2018-10-26,211.03,213.3,206.95,218.01
AAPL,2018-10-29,217.235,218.86,210.85,219.95
AAPL,2018-10-30,219.06,222.22,216.81,220.44
AAPL,2018-10-31,209.55,207.48,206.395,222.35
AAPL,2018-11-01,204.32,201.59,198.18,208.01
AAPL,2018-11-02,202.0,203.77,199.64,204.705
AAPL,2018-11-05,205.99,209.95,201.685,209.95
AAPL,2018-11-06,209.965,208.49,206.49,210.09
AAPL,2018-11-07,205.54,204.47,202.275,208.775
AAPL,2018-11-08,199.005,194.17,193.78,204.775
AAPL,2018-11-09,191.715,192.23,191.55,197.17
AAPL,2018-11-12,193.815,186.8,185.97,195.945
AAPL,2018-11-13,188.395,191.41,185.97,191.95
AAPL,2018-11-14,190.575,193.53,188.9,194.93
AAPL,2018-11-15,189.995,185.86,184.995,194.55
AAPL,2018-11-16,178.375,176.94,175.58,187.09
AAPL,2018-11-19,179.73,176.76,175.865,181.43
AAPL,2018-11-20,176.76,176.76,176.56,178.74
AAPL,2018-11-21,174.88,172.29,172.12,176.76
AAPL,2018-11-23,193.63,194.0,170.41,193.92
AAPL,2018-11-26,176.64,180.94,172.45,193.26
AAPL,2018-11-27,182.655,179.55,175.745,182.77
AAPL,2018-11-28,179.55,178.58,177.025,180.37
AAPL,2018-11-29,184.45,184.82,177.025,184.92
AAPL,2018-11-30,181.0,176.69,176.275,184.92
AAPL,2018-12-03,176.69,176.69,176.275,180.99
AAPL,2018-12-04,171.755,174.72,170.44,176.69
AAPL,2018-12-05,173.39,168.49,168.32,174.75
AAPL,2018-12-06,164.98,169.6,163.73,171.46
AAPL,2018-12-07,171.735,168.63,164.41,171.755
AAPL,2018-12-10,170.305,169.1,167.0,171.9
AAPL,2018-12-11,170.435,170.95,169.03,172.56
AAPL,2018-12-12,168.59,165.48,165.29,172.205
AAPL,2018-12-13,165.51,164.015,162.74,168.34
AAPL,2018-12-14,165.4,166.07,162.74,168.26
