index,batch_size,optimizer,learning_rate,neuronas_1,dropout_1,dropout_recurrente_1,activador_capas_1,activador_recurrente,activador_salida,bidireccional_1,Losses_train,Losses_val,Losses_test
0,20,adam,0.01,128,0,0.0794860161572248,swish,hard_sigmoid,selu,ave,0.0026298461016267,0.0024849588517099,0.0031926091760396
1,12,adam,0.006,112,0,0.1572037909602928,swish,selu,gelu,ave,0.0026298461016267,0.0024849588517099,0.0031926091760396
2,20,adam,0.006,112,0,0.2271095934174936,swish,hard_sigmoid,gelu,concat,0.003494159784168,0.0036178657319396,0.0033520816359668
3,12,adam,0.006,128,0,0.0091611898360465,swish,sigmoid,swish,ave,0.0028021072503179,0.0024649752303957,0.0028346001636236
4,16,adam,0.006,80,0,0.0671905585936159,swish,sigmoid,selu,ave,0.0031181296799331,0.002932391827926,0.0032363682985305
5,12,adam,0.01,80,0,0.0998307833972968,swish,sigmoid,gelu,ave,0.0025992540176957,0.0025086242239922,0.0024493616074323
6,20,adam,0.006,96,0,0.1833516758432209,swish,hard_sigmoid,swish,concat,0.003169949632138,0.0034069940447807,0.0033694149460643
7,20,adam,0.006,128,0,0.0401903380209253,swish,linear,gelu,concat,0.0022555848117917,0.0023546649608761,0.0028293028008192
8,12,adam,0.006,64,0,0.1804443394965086,swish,tanh,swish,concat,0.0026815170422196,0.002546225907281,0.0027854666113853
9,20,adam,0.01,96,0,0.1662010211376138,swish,tanh,swish,ave,0.0033344572875648,0.0035464705433696,0.0032937789801508
10,20,adam,0.01,112,0,0.0558048752355179,swish,selu,selu,ave,0.1053338721394538,0.0907649174332618,0.1185106262564659
11,20,adam,0.006,112,0,0.0174808037361381,swish,hard_sigmoid,gelu,ave,0.0047235838137567,0.0043218554928898,0.0043294276110827
12,16,adam,0.006,128,0,0.0042382918584132,swish,sigmoid,selu,concat,0.0028752798680216,0.0025644209235906,0.003096017288044
13,16,adam,0.01,128,0,0.0386507099701527,swish,tanh,swish,ave,0.0025704610161483,0.0029662002343684,0.0033397478982806
14,20,adam,0.01,112,0,0.2364089481109501,swish,selu,swish,concat,0.0023086552973836,0.0022250523325055,0.0031302960123866
15,16,adam,0.01,128,0,0.0397397196868081,swish,tanh,selu,ave,0.0028697818052023,0.0026527543086558,0.003351530060172
16,12,adam,0.006,96,0,0.1080696285006452,swish,tanh,selu,concat,0.0025024430360645,0.0028083377983421,0.0030394729692488
17,20,adam,0.006,128,0,0.0431673900501924,swish,sigmoid,swish,concat,0.0026913865003734,0.0028639202937483,0.0025370710063725
18,12,adam,0.006,128,0,0.1969021562189719,swish,selu,gelu,concat,0.0845981165766716,0.0766898170113563,0.0970610752701759
19,16,adam,0.01,128,0,0.062039213882197,swish,linear,swish,ave,0.0323470793664455,0.0307781249284744,0.0316903628408908
20,20,adam,0.01,64,0,0.2378478954268028,swish,linear,gelu,concat,0.0074468594975769,0.0059435847215354,0.0062493211589753
21,20,adam,0.01,112,0,0.1349711724399558,swish,linear,gelu,concat,0.0074468594975769,0.0059435847215354,0.0062493211589753
22,20,adam,0.01,112,0,0.2193809902245032,swish,selu,swish,concat,0.0092244874686002,0.0081451330333948,0.0101186642423272
23,20,adam,0.01,80,0,0.1344429379454678,swish,linear,gelu,concat,0.1418861448764801,0.1145656630396843,0.1661470383405685
24,20,adam,0.006,64,0,0.1013586376101475,swish,selu,gelu,concat,0.0026044291444122,0.0028033899143338,0.003016049740836
25,20,adam,0.01,112,0,0.2047990291403872,swish,linear,swish,concat,0.0900633782148361,0.0712054446339607,0.14497771859169
26,20,adam,0.006,112,0,0.1486754635500156,swish,selu,swish,concat,0.0031003861222416,0.0034857995342463,0.0036246133968234
