index,batch_size,optimizer,learning_rate,num_layers,neuronas_1,neuronas_2,dropout_1,dropout_2,dropout_recurrente_1,dropout_recurrente_2,activador_capas_1,activador_capas_2,activador_salida,bidireccional_1,bidireccional_2,Losses_train,Losses_val,Losses_test
76,4,adam,"0,01",one,64,,0.0026679897380849,,0.1767462379850082,,swish,,elu,concat,,0.0023155363742262,0.0020012340974062,0.002457631053403
74,4,adam,"0,01",one,64,,0.0149683256264275,,0.1897784713312994,,swish,,selu,concat,,0.0027093300595879,0.0021727334242314,0.0028444214258342
71,4,adam,"0,01",one,64,,0.0125053737274117,,0.2591598682159853,,swish,,selu,ave,,0.0026683376636356,0.0022726338356733,0.0026841771323233
70,4,adam,"0,01",one,64,,0.0111146994463881,,0.2537490235455957,,swish,,gelu,ave,,0.0026064624544233,0.0022867356892675,0.0023771382402628
72,4,adam,"0,01",one,64,,0.0192063499425875,,0.249178039718994,,swish,,selu,ave,,0.0028758710250258,0.0027317572385072,0.0028042148333042
30,4,nadam,"0,01",one,64,,0.0372754879965412,,0.0336927803489942,,relu,,selu,ave,,0.0035499937366694,0.0030194835271686,0.0040474315173923
97,2,adamax,"0,01",one,64,,0.0272536095105084,,0.208825067373387,,swish,,selu,concat,,0.0033055099193006,0.0030225922819226,0.0031179587822407
167,16,adam,"0,01",one,64,,0.0014879665652482,,0.0534490587064143,,gelu,,swish,,,0.0036666258238255,0.0031673468183726,0.0031497376039624
73,16,adam,"0,01",one,64,,0.010137699280181,,0.258450150920011,,swish,,selu,ave,,0.0038229075726121,0.003452626755461,0.0037183985114097
155,4,adam,"0,01",one,64,,0.0621666456573508,,0.0817008029414787,,tanh,,swish,,,0.0037238053046166,0.0035016676411032,0.003708203556016
26,4,nadam,"0,01",one,64,,0.0483809155668102,,0.2906152429380954,,hard_sigmoid,,swish,ave,,0.0047886539250612,0.0041787871159613,0.0048459670506417
24,4,nadam,"0,01",one,64,,0.1398108264827112,,0.2929207306857888,,hard_sigmoid,,gelu,ave,,0.0054960954003036,0.0043005323968827,0.0052946875803172
27,4,nadam,"0,01",one,64,,0.0514019230111808,,0.2051409307010487,,hard_sigmoid,,swish,ave,,0.0052024177275598,0.0043130335398018,0.0050608986057341
78,4,adam,"0,01",one,64,,0.129905946757647,,0.1132365509536507,,swish,,elu,concat,,0.0055147325620055,0.0044451155699789,0.0052471705712378
179,2,adam,"0,01",one,64,,0.0002378319429962,,0.1119917091449058,,sigmoid,,swish,,,0.0048303147777915,0.0044705062173306,0.0048367446288466
90,4,rmsprop,"0,001",one,64,,4.818282381077298e-05,,0.0144293846196451,,swish,,relu,concat,,0.0042167673818767,0.0044790166430175,0.0043970714323222
170,16,adam,"0,01",one,64,,0.0438839514947209,,0.0581055406300833,,gelu,,swish,,,0.0047448263503611,0.004497495945543,0.0045305397361516
23,4,nadam,"0,01",one,64,,0.1432165645669518,,0.2569153574336754,,hard_sigmoid,,gelu,ave,,0.0053672408685088,0.0045311222784221,0.0049346056766808
65,4,nadam,"0,01",one,64,,0.0776698544946947,,0.3048168536947641,,hard_sigmoid,,gelu,ave,,0.0057673980481922,0.0046143108047544,0.0056430832482874
85,4,adam,"0,01",two,64,50.0,0.2084263894661676,0.352312286216962,0.1765281372210864,0.1629654425513542,swish,softmax,linear,concat,ave,0.0052041485905647,0.0048041068948805,0.0059406249783933
25,4,nadam,"0,01",one,64,,0.1172009019763653,,0.3010229675415172,,hard_sigmoid,,gelu,ave,,0.0054097212851047,0.0048548192717134,0.005476841237396
68,4,nadam,"0,01",one,64,,0.0465012769529801,,0.4224507293623352,,sigmoid,,gelu,ave,,0.0059255473315715,0.0049110632389783,0.0059186578728258
164,16,adam,"0,01",one,64,,0.0717394212046133,,0.0223895753667052,,gelu,,swish,,,0.0059042884968221,0.0049372431822121,0.0055542029440402
84,4,adam,"0,01",one,64,,0.1522337672875785,,0.1169475157031719,,elu,,softsign,concat,,0.0062716463580727,0.0049409880302846,0.006014650221914
77,1,adam,"0,001",one,64,,0.0839060590738014,,0.1892700217073387,,swish,,elu,concat,,0.0051816580817103,0.0050076618790626,0.0047076609916985
149,32,rmsprop,"0,01",one,64,,0.0021072168327555,,0.1738950229248241,,softsign,,relu,,,0.0048316749744117,0.0050410656258463,0.005300186574459
