empresa_año,max,mean,min
INTC_2018,55.62,48.29881944444443,43.44
AAPL_2018,57.72625,49.730267241379316,36.7925
INTC_2019,60.02,51.40892857142853,43.385
INTC_2020,67.645,54.77185317460314,44.1
INTC_2021,68.205,59.123849193548395,49.445
AAPL_2019,74.0275,52.078080357142845,36.105
NKE_2018,85.37,77.22429078014187,68.17
NKE_2019,101.53,86.82517857142855,73.245
AAPL_2020,138.05,95.2636388888889,57.0475
AAPL_2021,143.6,129.00915322580644,119.16
NKE_2020,144.82,106.56996047430825,64.46
NKE_2021,155.025,137.122620967742,127.87
